Aspek,IndoRoBERTa F1-Active,XLM-RoBERTa F1-Active,IndoRoBERTa F1-All,XLM-RoBERTa F1-All,IndoRoBERTa Accuracy,XLM-RoBERTa Accuracy
Infra,0.4101010101010101,0.49582784365393057,0.5473418394471027,0.6135538573001349,0.8989547038327527,0.9163763066202091
Ekonomi,0.4728070175438597,0.6138498584319018,0.5788392464448028,0.6907244724756118,0.7456445993031359,0.8153310104529616
Kualitas,0.5797326893684739,0.6535590787499185,0.635602729877761,0.707560613410265,0.7073170731707317,0.7839721254355401
Purnajual,0.48,0.34935064935064936,0.5955371900826446,0.5048701298701299,0.8780487804878049,0.9024390243902439
